femalestar,malestar,femalerasi,malerasi,thinam porutham,kanam porutham,magendhiram porutham,sthirthirgam porutham,yoni porutham,Rasi porutham,rasi adhipathi porutham,vasiyam porutham,raji porutham,vedhai porutham,motha_porutham,target,inputs
aswini,aswini,maesam,mesam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
aswini,bharani,maesam,mesam,1,1,0,0,1,1,1,0,1,1,7,1,12567910
aswini,karthigai 1 padham,maesam,mesam,0,1,0,0,1,1,1,0,1,1,6,1,2567910
aswini,karthigai 2 3 4 padham,maesam,rishabam,0,1,0,0,1,0,1,0,1,1,5,0,257910
aswini,rohini,maesam,rishabam,1,1,1,0,1,0,1,0,1,1,7,1,12357910
aswini,mirugasirisham 1 2 padham,maesam,rishabam,0,1,0,0,1,0,1,0,1,1,5,0,257910
aswini,mirugasirisham 3 4 padham,maesam,mithunam,0,1,0,0,1,0,0,0,1,1,4,0,25910
aswini,thiruvadhirai,maesam,mithunam,1,1,0,0,1,0,0,0,1,1,5,0,125910
aswini,poonarpusham 1 2 3 padham,maesam,mithunam,0,1,1,0,1,0,0,0,1,1,5,0,235910
aswini,poonarpusham 4 padham,maesam,kadagam,0,1,1,0,1,0,1,0,1,1,6,1,2357910
aswini,poosam,maesam,kadagam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
aswini,ayilyam,maesam,kadagam,0,0,0,0,0,0,0,0,0,0,0,0,b
aswini,magam,maesam,simmam,0,0,0,0,0,0,0,0,0,0,0,0,b
aswini,pooram,maesam,simmam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
aswini,uthiram 1 padham,maesam,simmam,0,1,0,1,1,0,1,1,1,1,7,1,24578910
aswini,uthiram 2 3 4 padham,maesam,kanni,0,1,0,1,1,0,0,0,1,1,5,0,245910
aswini,astham,maesam,kanni,1,1,1,1,0,0,0,0,1,1,6,1,1234910
aswini,chithirai 1 2padham,maesam,kanni,0,1,0,1,1,0,0,0,1,1,5,0,245910
aswini,chithirai 3 4 padham,maesam,thualam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
aswini,swathi,maesam,thualam,1,1,0,1,0,1,1,0,1,1,7,1,12467910
aswini,visagam 1 2 3 padham,maesam,thualam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
aswini,visagam 4 padham,maesam,viruchagam,0,1,1,1,1,0,1,1,1,1,8,1,234578910
aswini,anusam,maesam,viruchagam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
aswini,kettai,maesam,viruchagam,0,0,0,0,0,0,0,0,0,0,0,0,b
aswini,moolam,maesam,dhanush,0,0,0,0,0,0,0,0,0,0,0,0,b
aswini,pooradam,maesam,dhanush,1,1,0,1,1,1,1,0,1,1,8,1,124567910
aswini,uthiradam 1 padham,maesam,dhanush,0,1,0,1,1,1,1,0,1,1,7,1,24567910
aswini,uthiradam 2 3 4 padham,maesam,magaram,0,1,0,1,1,1,1,0,1,1,7,1,24567910
aswini,thiruvonam,maesam,magaram,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
aswini,avitam 1 2 padham,maesam,magaram,0,1,0,1,1,1,1,0,1,1,7,1,24567910
aswini,avitam 3 4 padam,maesam,kumbam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
aswini,sathayam,maesam,kumbam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
aswini,pooratadhi 1 2 3 padham,maesam,kumbam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
aswini,pooratadhi 4 padham,maesam,meenam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
aswini,uthiraithadhi,maesam,meenam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
aswini,revathi,maesam,meenam,0,0,0,0,0,0,0,0,0,0,0,0,b
bharani,aswini,maesam,mesam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
bharani,bharani,maesam,mesam,0,0,0,0,0,0,0,0,0,0,0,0,b
bharani,karthigai 1 padham,maesam,mesam,1,1,0,0,1,1,1,0,1,1,7,1,12567910
bharani,karthigai 2 3 4 padham,maesam,rishabam,1,1,0,0,1,0,1,0,1,1,6,1,1257910
bharani,rohini,maesam,rishabam,0,1,0,0,1,0,1,0,1,1,5,0,257910
bharani,mirugasirisham 1 2 padham,maesam,rishabam,1,1,1,0,1,0,1,0,1,1,7,1,12357910
bharani,mirugasirisham 3 4 padham,maesam,mithunam,1,1,1,0,1,0,0,0,1,1,6,1,1235910
bharani,thiruvadhirai,maesam,mithunam,0,1,0,0,1,0,0,0,1,1,4,0,25910
bharani,poonarpusham 1 2 3 padham,maesam,mithunam,1,1,0,0,1,0,0,0,1,1,5,0,125910
bharani,poonarpusham 4 padham,maesam,kadagam,1,1,0,0,1,0,1,0,1,1,6,1,1257910
bharani,poosam,maesam,kadagam,0,0,0,0,0,0,0,0,0,0,0,0,b
bharani,ayilyam,maesam,kadagam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
bharani,magam,maesam,simmam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
bharani,pooram,maesam,simmam,0,0,0,0,0,0,0,0,0,0,0,0,b
bharani,uthiram 1 padham,maesam,simmam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
bharani,uthiram 2 3 4 padham,maesam,kanni,1,1,0,1,1,0,0,0,1,1,6,1,1245910
bharani,astham,maesam,kanni,0,1,0,1,1,0,0,0,1,1,5,0,245910
bharani,chithirai 1 2padham,maesam,kanni,1,1,1,1,1,0,0,0,1,1,7,1,12345910
bharani,chithirai 3 4 padham,maesam,thualam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
bharani,swathi,maesam,thualam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
bharani,visagam 1 2 3 padham,maesam,thualam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
bharani,visagam 4 padham,maesam,viruchagam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
bharani,anusam,maesam,viruchagam,0,0,0,0,0,0,0,0,0,0,0,0,b
bharani,kettai,maesam,viruchagam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
bharani,moolam,maesam,dhanush,1,1,0,1,1,0,1,0,1,1,7,1,12457910
bharani,pooradam,maesam,dhanush,0,0,0,0,0,0,0,0,0,0,0,0,b
bharani,uthiradam 1 padham,maesam,dhanush,1,1,0,1,1,1,1,0,1,1,8,1,124567910
bharani,uthiradam 2 3 4 padham,maesam,magaram,1,1,0,1,1,1,1,0,1,1,8,1,124567910
bharani,thiruvonam,maesam,magaram,1,1,0,1,1,1,1,0,1,1,8,1,124567910
bharani,avitam 1 2 padham,maesam,magaram,1,1,1,1,0,1,1,0,1,1,8,1,123467910
bharani,avitam 3 4 padam,maesam,kumbam,1,1,1,1,0,1,1,0,1,1,8,1,123467910
bharani,sathayam,maesam,kumbam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
bharani,pooratadhi 1 2 3 padham,maesam,kumbam,1,1,0,1,0,1,1,0,1,1,7,1,12467910
bharani,pooratadhi 4 padham,maesam,meenam,1,1,0,1,0,1,1,0,1,1,7,1,12467910
bharani,uthiraithadhi,maesam,meenam,0,0,0,0,0,0,0,0,0,0,0,0,b
bharani,revathi,maesam,meenam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
karthigai 1 padham,aswini,maesam,mesam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
karthigai 1 padham,bharani,maesam,mesam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
karthigai 1 padham,karthigai 1 padham,maesam,mesam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
karthigai 1 padham,karthigai 2 3 4 padham,maesam,rishabam,0,1,1,0,1,0,1,0,0,1,5,0,235710
karthigai 1 padham,rohini,maesam,rishabam,1,0,0,0,1,0,1,0,1,1,5,0,157910
karthigai 1 padham,mirugasirisham 1 2 padham,maesam,rishabam,0,0,0,0,1,0,1,0,1,1,4,0,57910
karthigai 1 padham,mirugasirisham 3 4 padham,maesam,mithunam,0,0,0,0,1,0,0,0,1,1,3,0,5910
karthigai 1 padham,thiruvadhirai,maesam,mithunam,1,0,1,0,1,0,0,0,1,1,5,0,135910
karthigai 1 padham,poonarpusham 1 2 3 padham,maesam,mithunam,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 1 padham,poonarpusham 4 padham,maesam,kadagam,0,0,0,0,0,0,0,0,0,0,0,0,b
