femalestar,malestar,femalerasi,malerasi,motha porutham,target
aswini,aswini,maesam,mesam,4,0
aswini,bharani,maesam,mesam,6,0
aswini,karthigai 1 padham,maesam,mesam,3,0
aswini,karthigai 2 3 4 padham,maesam,rishabam,4,0
aswini,rohini,maesam,rishabam,3,0
aswini,mirugasirisham 1 2 padham,maesam,rishabam,6,0
aswini,mirugasirisham 3 4 padham,maesam,mithunam,7,1
aswini,thiruvadhirai,maesam,mithunam,6,0
aswini,poonarpusham 1 2 3 padham,maesam,mithunam,0,0
aswini,poonarpusham 4 padham,maesam,kadagam,0,0
aswini,poosam,maesam,kadagam,6,0
aswini,ayilyam,maesam,kadagam,5,0
aswini,magam,maesam,simmam,4,0
aswini,pooram,maesam,simmam,6,0
aswini,uthiram 1 padham,maesam,simmam,5,0
aswini,uthiram 2 3 4 padham,maesam,kanni,7,1
aswini,astham,maesam,kanni,6,0
aswini,chithirai 1 2padham,maesam,kanni,6,0
aswini,chithirai 3 4 padham,maesam,thualam,6,0
aswini,swathi,maesam,thualam,6,0
aswini,visagam 1 2 3 padham,maesam,thualam,0,0
aswini,visagam 4 padham,maesam,viruchagam,0,0
aswini,anusam,maesam,viruchagam,7,1
aswini,kettai,maesam,viruchagam,7,1
aswini,moolam,maesam,dhanush,6,0
aswini,pooradam,maesam,dhanush,7,1
aswini,uthiradam 1 padham,maesam,dhanush,6,0
aswini,uthiradam 2 3 4 padham,maesam,magaram,8,1
aswini,thiruvonam,maesam,magaram,6,0
aswini,avitam 1 2 padham,maesam,magaram,7,1
aswini,avitam 3 4 padam,maesam,kumbam,8,1
aswini,sathayam,maesam,kumbam,7,1
aswini,pooratadhi 1 2 3 padham,maesam,kumbam,0,0
aswini,pooratadhi 4 padham,maesam,meenam,0,0
aswini,uthiraithadhi,maesam,meenam,7,1
aswini,revathi,maesam,meenam,5,0
bharani,aswini,maesam,mesam,5,0
bharani,bharani,maesam,mesam,7,1
bharani,karthigai 1 padham,maesam,mesam,4,0
bharani,karthigai 2 3 4 padham,maesam,rishabam,3,0
bharani,rohini,maesam,rishabam,4,0
bharani,mirugasirisham 1 2 padham,maesam,rishabam,5,0
bharani,mirugasirisham 3 4 padham,maesam,mithunam,6,0
bharani,thiruvadhirai,maesam,mithunam,0,0
bharani,poonarpusham 1 2 3 padham,maesam,mithunam,6,0
bharani,poonarpusham 4 padham,maesam,kadagam,6,0
bharani,poosam,maesam,kadagam,0,0
bharani,ayilyam,maesam,kadagam,6,0
bharani,magam,maesam,simmam,5,0
bharani,pooram,maesam,simmam,4,0
bharani,uthiram 1 padham,maesam,simmam,7,1
bharani,uthiram 2 3 4 padham,maesam,kanni,6,0
bharani,astham,maesam,kanni,6,0
bharani,chithirai 1 2padham,maesam,kanni,6,0
bharani,chithirai 3 4 padham,maesam,thualam,6,0
bharani,swathi,maesam,thualam,0,0
bharani,visagam 1 2 3 padham,maesam,thualam,8,1
bharani,visagam 4 padham,maesam,viruchagam,8,1
bharani,anusam,maesam,viruchagam,0,0
bharani,kettai,maesam,viruchagam,8,1
bharani,moolam,maesam,dhanush,7,1
bharani,pooradam,maesam,dhanush,5,0
bharani,uthiradam 1 padham,maesam,dhanush,8,1
bharani,uthiradam 2 3 4 padham,maesam,magaram,7,1
bharani,thiruvonam,maesam,magaram,7,1
