,femalestar,malestar,femalerasi,malerasi,motha porutham,target
0,3,3,5,7,6,0
1,3,7,5,7,7,0
2,3,10,5,7,6,0
3,3,11,5,9,5,0
4,3,25,5,9,7,0
5,3,14,5,9,5,0
6,3,15,5,8,4,1
7,3,28,5,8,5,0
8,3,17,5,8,5,0
9,3,18,5,2,6,0
10,3,23,5,2,7,0
11,3,6,5,2,0,0
12,3,13,5,10,0,0
13,3,20,5,10,8,0
14,3,33,5,10,7,0
15,3,34,5,3,5,1
16,3,2,5,3,6,0
17,3,8,5,3,5,0
18,3,9,5,11,7,0
19,3,27,5,11,7,0
20,3,35,5,11,8,0
21,3,36,5,12,8,0
22,3,1,5,12,8,1
23,3,12,5,12,0,1
24,3,16,5,1,0,0
25,3,19,5,1,8,1
26,3,30,5,1,7,0
27,3,31,5,5,7,1
28,3,29,5,5,9,0
29,3,4,5,5,7,1
30,3,5,5,4,7,1
31,3,26,5,4,8,1
32,3,21,5,4,8,0
33,3,22,5,6,8,0
34,3,32,5,6,8,1
35,3,24,5,6,0,0
36,7,3,5,7,8,0
37,7,7,5,7,0,1
38,7,10,5,7,7,0
39,7,11,5,9,6,0
40,7,25,5,9,5,0
41,7,14,5,9,7,0
42,7,15,5,8,6,0
43,7,28,5,8,4,0
44,7,17,5,8,5,0
45,7,18,5,2,6,0
46,7,23,5,2,0,0
47,7,6,5,2,7,0
48,7,13,5,10,8,0
49,7,20,5,10,0,0
50,7,33,5,10,8,1
51,7,34,5,3,6,0
52,7,2,5,3,5,0
53,7,8,5,3,7,0
54,7,9,5,11,9,0
55,7,27,5,11,7,0
56,7,35,5,11,8,1
57,7,36,5,12,8,1
58,7,1,5,12,0,0
59,7,12,5,12,8,1
60,7,16,5,1,7,1
61,7,19,5,1,0,0
62,7,30,5,1,8,1
63,7,31,5,5,8,1
64,7,29,5,5,8,1
65,7,4,5,5,8,1
66,7,5,5,4,8,1
67,7,26,5,4,7,0
68,7,21,5,4,7,1
69,7,22,5,6,7,1
70,7,32,5,6,0,0
71,7,24,5,6,8,0
72,10,3,5,7,7,0
73,10,7,5,7,7,0
74,10,10,5,7,6,1
75,10,11,5,9,5,0
76,10,25,5,9,5,0
77,10,14,5,9,4,0
78,10,15,5,8,3,0
79,10,28,5,8,5,0
80,10,17,5,8,0,1
81,10,18,5,2,0,1
82,10,23,5,2,5,1
83,10,6,5,2,6,0
84,10,13,5,10,8,0
85,10,20,5,10,7,0
86,10,33,5,10,0,0
87,10,34,5,3,0,1
88,10,2,5,3,5,0
89,10,8,5,3,5,0
90,10,9,5,11,7,0
91,10,27,5,11,8,1
92,10,35,5,11,0,1
93,10,36,5,12,0,1
94,10,1,5,12,7,1
95,10,12,5,12,8,0
96,10,16,5,1,8,0
97,10,19,5,1,6,1
98,10,30,5,1,0,0
99,10,31,5,5,0,1
